,amenities
2324,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",other}"
2325,"{tv,wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""self check-in"",lockbox,""private living room"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""long term stays allowed""}"
2326,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",bathtub,""room-darkening shades"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",stove,""single level home"",""garden or backyard"",""host greets you""}"
2327,"{wifi,kitchen,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",microwave,refrigerator,""dishes and silverware"",""cooking basics"",""garden or backyard"",""long term stays allowed""}"
2328,"{wifi,""air conditioning"",""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""self check-in"",lockbox,""private entrance"",microwave,refrigerator}"
2329,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,""hot tub"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony""}"
2330,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
2331,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""hot water kettle"",""paid parking on premises""}"
2332,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed""}"
2333,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed"",""hot water kettle"",""paid parking on premises""}"
2334,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed""}"
2335,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
2336,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
2337,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed""}"
2338,"{wifi,kitchen,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""long term stays allowed""}"
2339,"{wifi,kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""hot water kettle""}"
2340,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
2341,"{tv,wifi,kitchen,""free parking on premises"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""hot water kettle""}"
2342,"{tv,wifi,kitchen,""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad}"
2343,"{tv,wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,""suitable for events"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",""coffee maker"",refrigerator,""dishes and silverware"",oven,""single level home"",""luggage dropoff allowed"",""long term stays allowed""}"
2344,"{wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
2345,"{wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,heating,washer,essentials,hangers,""laptop-friendly workspace""}"
2346,"{wifi,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""first aid kit"",essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,refrigerator,""dishes and silverware"",""patio or balcony"",""long term stays allowed""}"
2347,"{wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""luggage dropoff allowed"",""long term stays allowed""}"
2348,"{wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""hot water"",refrigerator,""dishes and silverware"",other}"
2349,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",microwave,refrigerator,""dishes and silverware"",""cooking basics"",oven,""patio or balcony""}"
2350,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,breakfast,""free street parking"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""hot water"",""bed linens"",""extra pillows and blankets"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony""}"
2351,"{tv,wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
2352,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,elevator,""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
2353,"{tv,wifi,""air conditioning"",""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""long term stays allowed""}"
2354,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""long term stays allowed"",""wide entrance for guests"",""flat path to guest entrance"",""well-lit path to entrance"",other}"
2355,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
2356,"{tv,""cable tv"",wifi,kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
2357,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""baking sheet"",""trash can""}"
2358,"{tv,wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
2359,"{internet,wifi,kitchen,""pets live on this property"",cat(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""luggage dropoff allowed"",""host greets you""}"
2360,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""shower gel"",""trash can""}"
2361,"{wifi,""air conditioning"",""pets live on this property"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",bathtub,""hot water"",microwave,refrigerator,""long term stays allowed"",""cleaning before checkout"",""host greets you""}"
2362,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",bathtub,""high chair"",""pack ’n play/travel crib"",""room-darkening shades"",""game console"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""ev charger"",""bbq grill"",""patio or balcony"",""long term stays allowed""}"
2363,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""single level home"",""patio or balcony"",""long term stays allowed""}"
2364,"{wifi,kitchen,""free parking on premises"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""self check-in"",""smart lock"",""private living room"",bathtub,""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,refrigerator,dishwasher,oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
2365,"{wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""hot water"",""host greets you""}"
2366,"{tv,wifi,""air conditioning"",""wheelchair accessible"",kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""single level home"",""garden or backyard""}"
2367,"{wifi,""air conditioning"",kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""self check-in"",lockbox}"
2368,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""long term stays allowed""}"
2369,"{wifi,kitchen,""free parking on premises"",breakfast,""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""outlet covers"",bathtub,""children’s books and toys"",""children’s dinnerware"",""hot water"",""body soap"",""bath towel"",""toilet paper"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""wide entrance for guests"",""well-lit path to entrance"",""no stairs or steps to enter"",""wide entrance"",""extra space around bed"",""no stairs or steps to enter"",""no stairs or steps to enter"",""wide entryway"",""ceiling fan"",""espresso machine"",""en suite bathroom"",""full kitchen"",""bedroom comforts"",""bathroom essentials""}"
2370,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""outlet covers"",bathtub,""stair gates"",""children’s books and toys"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
2371,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove}"
2372,"{wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""long term stays allowed"",""host greets you""}"
2373,"{tv,wifi,kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",essentials,""lock on bedroom door"",hangers,iron,""self check-in"",lockbox,""private living room"",""hot water"",""long term stays allowed""}"
2374,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""self check-in"",keypad,""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
2375,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",breakfast,""pets live on this property"",""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",bathtub,""high chair"",""hot water"",""bed linens"",""extra pillows and blankets"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
2376,"{tv,wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""long term stays allowed""}"
2377,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""long term stays allowed"",""host greets you""}"
2378,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""long term stays allowed""}"
2379,"{wifi,""air conditioning"",kitchen,""free street parking"",heating,washer,dryer,essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""hot water"",""bed linens"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",oven,stove,""long term stays allowed""}"
2380,"{wifi,pool,""pets live on this property"",dog(s),cat(s),""free street parking"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""hair dryer"",iron,""self check-in"",keypad,""hot water"",microwave,""coffee maker"",""dishes and silverware"",oven,""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
2381,"{wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,hangers,""hair dryer"",""self check-in"",keypad,bathtub,""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""luggage dropoff allowed"",""long term stays allowed""}"
2382,"{tv,wifi,""air conditioning"",""pets live on this property"",cat(s),""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
2383,{}
2384,{}
2385,{}
2386,{essentials}
2387,{}
2388,{}
2389,"{wifi,""air conditioning"",elevator,""free street parking"",heating,""smoke alarm"",essentials,shampoo,hangers,""hot water"",dishwasher,""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
2390,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,bathtub,""children’s books and toys"",""room-darkening shades"",""game console"",""hot water"",""body soap"",""bath towel"",""toilet paper"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",""ceiling fan"",""smart tv"",""fire pit"",""heat lamps"",""outdoor seating"",""bedroom comforts"",""bathroom essentials""}"
2391,"{tv,""cable tv"",wifi,""air conditioning"",kitchen,""free parking on premises"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed"",other}"
